Tracker ID,Wiki page,Unit,Plant,Other names,Chinese name,Owner,Parent,Capacity (MW),Status,Jan 17 Note,Start year,Planned retirement,Year retired,Combustion technology,Location,Local area,"Major area (prefecture, district)",Subnational unit,Country,Region,Latitude,Longitude,Accuracy,Permits,Coal source,Heat rate,Emission factor,Capacity factor,Annual CO2
G108106,http://bit.ly/Ur1VP1,Porto Romano Power Station Unit 1,Porto Romano Power Station,,,Enel,Enel,800,Cancelled,,,,,Ultra-super,Porto Romano,,,,Albania,non-EU Europe,41.371141,19.425201,approximate,,,"8,418",205.3,59%,3.3
G108783,http://bit.ly/1UqLug2,San Nicolás-2 power station Unit 11,San Nicolás power station,,,AES Argentina,AES,350,Operating,,1983,,,Subcritical,San Nicolás de los Arroyos,,San Nicolás,Buenos Aires,Argentina,Latin America,-33.354920,-60.172917,exact,,,"8,863",205.3,59%,1.5
G108585,http://bit.ly/1g7lD7Q,Río Turbio power station Unit 1,Río Turbio power station,"
",,Isolux Corsán,Yacimientos Carboníferos de Río Turbio,120,Operating,,2015,,,Subcritical,Río Turbio coal mine,,Güer Aike,Santa Cruz,Argentina,Latin America,-51.546015,-72.231256,Exact,,,"8,863",205.3,59%,0.5
G108586,http://bit.ly/1g7lD7Q,Río Turbio power station Unit 2,Río Turbio power station,,,Isolux Corsán,Yacimientos Carboníferos de Río Turbio,120,Construction,,2016,,,Subcritical,Río Turbio coal mine,,Güer Aike,Santa Cruz,Argentina,Latin America,-51.546015,-72.231256,Exact,,,"8,863",205.3,59%,0.5
G100678,http://bit.ly/1wanvqd,Bayswater B Power Station,Bayswater power station,,,Macquarie Generation,AGL Energy,"2,000",Cancelled,,,,,unknown,Hunter Region,Muswellbrook,,New South Wales,Australia,Australia/NZ,-32.395000,150.949200,Exact,,,"8,605",211.9,59%,8.6
G100679,http://bit.ly/1wanvqd,Bayswater power station Unit 1,Bayswater power station,,,Macquarie Generation,AGL Energy,660,Operating,,1985,,,Subcritical,Hunter Region,Muswellbrook,,New South Wales,Australia,Australia/NZ,-32.394042,150.950083,exact,,,"8,863",205.3,59%,2.8
G100680,http://bit.ly/1wanvqd,Bayswater power station Unit 2,Bayswater power station,,,Macquarie Generation,AGL Energy,660,Operating,,1985,,,Subcritical,Hunter Region,Muswellbrook,,New South Wales,Australia,Australia/NZ,-32.394042,150.950083,exact,,,"8,863",205.3,59%,2.8
G100681,http://bit.ly/1wanvqd,Bayswater power station Unit 3,Bayswater power station,,,Macquarie Generation,AGL Energy,660,Operating,,1986,,,Subcritical,Hunter Region,Muswellbrook,,New South Wales,Australia,Australia/NZ,-32.394042,150.950083,exact,,,"8,863",205.3,59%,2.8
G100682,http://bit.ly/1wanvqd,Bayswater power station Unit 4,Bayswater power station,,,Macquarie Generation,AGL Energy,660,Operating,,1986,,,Subcritical,Hunter Region,Muswellbrook,,New South Wales,Australia,Australia/NZ,-32.394042,150.950083,exact,,,"8,863",205.3,59%,2.8
G102667,http://bit.ly/1gk9PVJ,Eraring power station Unit 1,Eraring power station,,,Origin Energy Ltd,Origin Energy,720,Operating,,1981,,,Subcritical,Dora Creek,,,New South Wales,Australia,Australia/NZ,-33.062231,151.521359,exact,,,"8,863",205.3,59%,3.1
G102668,http://bit.ly/1gk9PVJ,Eraring power station Unit 2,Eraring power station,,,Origin Energy Ltd,Origin Energy,720,Operating,,1982,,,Subcritical,Dora Creek,,,New South Wales,Australia,Australia/NZ,-33.062231,151.521359,exact,,,"8,863",205.3,59%,3.1
G102669,http://bit.ly/1gk9PVJ,Eraring power station Unit 3,Eraring power station,,,Origin Energy Ltd,Origin Energy,720,Operating,,1983,,,Subcritical,Dora Creek,,,New South Wales,Australia,Australia/NZ,-33.062231,151.521359,exact,,,"8,863",205.3,59%,3.1
G102670,http://bit.ly/1gk9PVJ,Eraring power station Unit 4,Eraring power station,,,Origin Energy Ltd,Origin Energy,720,Operating,,1984,,,Subcritical,Dora Creek,,,New South Wales,Australia,Australia/NZ,-33.062231,151.521359,exact,,,"8,863",205.3,59%,3.1
